,name,gender_add,year,category,publication
141,A. B. MacDonald,male,1931,Reporting,Kansas City (MO) Star
142,A. M. Rosenthal,male,1960,International-Reporting,The New York Times
143,Acel Moore,male,1977,Local-Investigative-Specialized-Reporting,The Philadelphia Inquirer
144,Adrees Latif,male,2008,Breaking-News-Photography,Reuters
145,Alva Johnston,male,1923,Reporting,The New York Times
146,Blair Kamin,male,1999,Criticism,Chicago Tribune
147,C.D. Batchelor,male,1937,Editorial-Cartooning,New York Daily News
148,Carey Orr,male,1961,Editorial-Cartooning,Chicago Tribune
149,D. R. Fitzpatrick,male,1926,Editorial-Cartooning,St. Louis Post-Dispatch
150,Dele Olojede,male,2005,International-Reporting,Newsday
151,F. Gilman Spencer,male,1974,Editorial-Writing,The Trentonian
152,F. Lauriston Bullard,male,1927,Editorial-Writing,Boston Herald
153,H. G. Bissinger,male,1987,Investigative-Reporting,The Philadelphia Inquirer
154,H. M. Talburt,male,1933,Editorial-Cartooning,Washington Daily News
155,H. R. Knickerbocker,male,1931,Correspondence,Philadelphia Public Ledger and New York Evening Post
156,Hanson W. Baldwin,male,1943,Correspondence,The New York Times
157,Haynes Johnson,male,1966,National-Reporting,Washington Evening Star
158,Hedrick Smith,male,1974,International-Reporting,The New York Times
159,Hodding Carter,male,1946,Editorial-Writing,The Delta Democrat-Times
160,Holland Cotter,male,2009,Criticism,The New York Times
161,Horance G. Davis Jr.,male,1971,Editorial-Writing,The Gainesville (FL) Sun
162,Huynh Cong Ut,male,1973,Spot-News-Photography,Associated Press
163,J. A. Livingston,male,1965,International-Reporting,The Philadelphia Bulletin
164,J. Anthony Lukas,male,1968,Local-Investigative-Specialized-Reporting,The New York Times
165,J. Ross Baughman,male,1978,Feature-Photography,Associated Press
166,J.R. Moehringer,male,2000,Feature-Writing,Los Angeles Times
167,Joby Warrick,male,1996,Public-Service,The News & Observer
168,Kirke L. Simpson,male,1922,Reporting,Associated Press
169,Lenoir Chambers,male,1960,Editorial-Writing,Norfolk Virginian-Pilot
170,M.L. Elrick,male,2009,Local-Reporting,Detroit Free Press
171,Magner White,male,1924,Reporting,San Diego Sun
172,Merriman Smith,male,1964,National-Reporting,United Press Internationalcategory
173,Meyer Berger,male,1950,Local-Reporting,The New York Times
174,Moneta Sleet Jr.,male,1969,Feature-Photography,Ebony Magazine
175,Ovie Carter,male,1975,International-Reporting,Chicago Tribune
176,Ozier Muhammad,male,1985,International-Reporting,Newsday
177,Pat Stith,male,1996,Public-Service,The News & Observer
178,R. Bruce Dold,male,1994,Editorial-Writing,Chicago Tribune
179,R. Jeffrey Smith,male,2006,Investigative-Reporting,The Washington Post
180,R. John Hughes,male,1967,International-Reporting,The Christian Science Monitor
181,Sanche De Gramont,male,1961,Local-Reporting;-Edition-Time,New York Herald Tribune
182,Sergeant Bill Mauldin,male,1945,Editorial-Cartooning,"United Feature Syndicate, Inc."
183,Sylvan Fox,male,1963,Local-Reporting;-Edition-Time,New York World-Telegram
184,Vermont Connecticut Royster,male,1953,Editorial-Writing,The Wall Street Journal
185,Vermont Royster,male,1984,Commentary,The Wall Street Journal
186,Virginius Dabney,male,1948,Editorial-Writing,Richmond Times-Dispatch
187,Westbrook Pegler,male,1941,Reporting,New York World-Telegram
188,Adam Goldman,male,2012,Investigative-Reporting,Associated Press
