,name,gender_add,year,category,publication
815,William H. Grimes,male,1947,Editorial-Writing,The Wall Street Journal
816,William H. Taylor,male,1935,Reporting,New York Herald Tribune
817,William Harry Fitzpatrick,male,1951,Editorial-Writing,New Orleans States
818,William J. Dorvillier,male,1961,Editorial-Writing,San Juan (Puerto Rico) Star
819,William J. Eaton,male,1970,National-Reporting,Chicago Daily News
820,William Jones,male,1971,Local-Investigative-Specialized-Reporting,Chicago Tribune
821,William K. Marimow,male,1985,Investigative-Reporting,The Philadelphia Inquirer
822,William L. Laurence,male,1937,Reporting,The New York Times
823,William Lamber,male,1957,Local-Reporting;-No-Edition-Time,Portland Oregonian
824,William Leonard Laurence,male,1946,Reporting,The New York Times
825,William Longgood,male,1963,Local-Reporting;-Edition-Time,New York World-Telegram
826,William M. Gallagher,male,1953,Photography,Flint (MI) Journal
827,William McKenzie,male,2010,Editorial-Writing,The Dallas Morning News
828,William McPherson,male,1977,Criticism,The Washington Post
829,William Mullen,male,1975,International-Reporting,Chicago Tribune
830,William R. Stall,male,2004,Editorial-Writing,Los Angeles Times
831,William Randolph Hearst Jr.,male,1956,International-Reporting,International News Service
832,William Raspberry,male,1994,Commentary,The Washington Post
833,William Safire,male,1978,Commentary,The New York Times
834,William Seaman,male,1959,Photography,Minneapolis Star
835,William Sherman,male,1974,Local-Investigative-Specialized-Reporting,New York Daily News
836,William Snyder,male,1993,Spot-News-Photography,The Dallas Morning News
837,William Tuohy,male,1969,International-Reporting,Los Angeles Times
838,William Wesley Waymack,male,1938,Editorial-Writing,Register and Tribune
839,Yasushi Nagao,male,1961,Photography,Mainichi
840,Zachary R. Mider,male,2015,Explanatory-Reporting,Bloomberg News
