name,gender,gender_add,year,category,publication,publication2,organizational,first_name,mutiple org,note
Rochelle Sharpe,female,female,1991,National-Reporting,Gannett News Service,,no,Rochelle,,
Sara Ganim,female,female,2012,Local-Reporting,The Patriot-News,,no,Sara,,
Sarah Cohen,female,female,2002,Investigative-Reporting,The Washington Post,,no,Sarah,,
Sarah Kaufman,female,female,2010,Criticism,The Washington Post,,no,Sarah,,
Sari Horwitz,female,female,2002,Investigative-Reporting,The Washington Post,,no,Sari,,
Sheri Fink,female,female,2010,Investigative-Reporting,"ProPublica, in collaboration with The New York Times Magazine",,no,Sheri,,
Sheryl James,female,female,1991,Feature-Writing,St. Petersburg (FL) Times,,no,Sheryl,,
Sheryl Wu Dunn,female,female,1990,International-Reporting,The New York Times,,no,Sheryl,,
Shirley Christian,female,female,1980,International-Reporting,The Miami Herald,,no,Shirley,,
Signe Wilkinson,female,female,1992,Editorial-Cartooning,The Philadelphia Daily News,,no,Signe,,
Sonia Nazario,female,female,2003,Feature-Writing,Los Angeles Times,,no,Sonia,,
Stephanie Saul,female,female,1995,Investigative-Reporting,Newsday,,no,Stephanie,,
Stephanie Welsh,female,female,1996,Feature-Photography,freelance photographer,,no,Stephanie,,
Susan C. Faludi,female,female,1991,Explanatory-Journalism,The Wall Street Journal,,no,Susan,,
Susan M. Headden,female,female,1991,Investigative-Reporting,The Indianapolis Star,,no,Susan,,
Susan Schmidt,female,female,2006,Investigative-Reporting,The Washington Post,,no,Susan,,
Tamar Stieber,female,female,1990,Specialized-Reporting,Albuquerque Journal,,no,Tamar,,
Teresa Carpenter,female,female,1981,Feature-Writing,The Village Voice,,no,Teresa,,
Usha Lee McFarling,female,female,2007,Explanatory-Reporting,Los Angeles Times,,no,Usha,,
Wendy Ruderman,female,female,2010,Investigative-Reporting,The Philadelphia Daily News,,no,Wendy,,
A. B. MacDonald,andy,male,1931,Reporting,Kansas City (MO) Star,,no,A.,,
A. M. Rosenthal,andy,male,1960,International-Reporting,The New York Times,,no,A.,,
Acel Moore,andy,male,1977,Local-Investigative-Specialized-Reporting,The Philadelphia Inquirer,,no,Acel,,
Adrees Latif,andy,male,2008,Breaking-News-Photography,Reuters,,no,Adrees,,
Alva Johnston,andy,male,1923,Reporting,The New York Times,,no,Alva,,
Blair Kamin,andy,male,1999,Criticism,Chicago Tribune,,no,Blair,,
C.D. Batchelor,andy,male,1937,Editorial-Cartooning,New York Daily News,,no,C.D.,,
Carey Orr,andy,male,1961,Editorial-Cartooning,Chicago Tribune,,no,Carey,,
D. R. Fitzpatrick,andy,male,1926,Editorial-Cartooning,St. Louis Post-Dispatch,,no,D.,,
Dele Olojede,andy,male,2005,International-Reporting,Newsday,,no,Dele,,
F. Gilman Spencer,andy,male,1974,Editorial-Writing,The Trentonian,,no,F.,,
F. Lauriston Bullard,andy,male,1927,Editorial-Writing,Boston Herald,,no,F.,,
H. G. Bissinger,andy,male,1987,Investigative-Reporting,The Philadelphia Inquirer,,no,H.,,
H. M. Talburt,andy,male,1933,Editorial-Cartooning,Washington Daily News,,no,H.,,
H. R. Knickerbocker,andy,male,1931,Correspondence,Philadelphia Public Ledger and New York Evening Post,,no,H.,,
Hanson W. Baldwin,andy,male,1943,Correspondence,The New York Times,,no,Hanson,,
Haynes Johnson,andy,male,1966,National-Reporting,Washington Evening Star,,no,Haynes,,
Hedrick Smith,andy,male,1974,International-Reporting,The New York Times,,no,Hedrick,,
Hodding Carter,andy,male,1946,Editorial-Writing,The Delta Democrat-Times,,no,Hodding,,
Holland Cotter,andy,male,2009,Criticism,The New York Times,,no,Holland,,
Horance G. Davis Jr.,andy,male,1971,Editorial-Writing,The Gainesville (FL) Sun,,no,Horance,,
Huynh Cong Ut,andy,male,1973,Spot-News-Photography,Associated Press,,no,Huynh,,
J. A. Livingston,andy,male,1965,International-Reporting,The Philadelphia Bulletin,,no,J.,,
J. Anthony Lukas,andy,male,1968,Local-Investigative-Specialized-Reporting,The New York Times,,no,J.,,
J. Ross Baughman,andy,male,1978,Feature-Photography,Associated Press,,no,J.,,
J.R. Moehringer,andy,male,2000,Feature-Writing,Los Angeles Times,,no,J.R.,,
Joby Warrick,andy,male,1996,Public-Service,The News & Observer,,no,Joby,,
Kirke L. Simpson,andy,male,1922,Reporting,Associated Press,,no,Kirke,,
Lenoir Chambers,andy,male,1960,Editorial-Writing,Norfolk Virginian-Pilot,,no,Lenoir,,
M.L. Elrick,andy,male,2009,Local-Reporting,Detroit Free Press,,no,M.L.,,
Magner White,andy,male,1924,Reporting,San Diego Sun,,no,Magner,,
Merriman Smith,andy,male,1964,National-Reporting,United Press Internationalcategory,,no,Merriman,,
Meyer Berger,andy,male,1950,Local-Reporting,The New York Times,,no,Meyer,,
Moneta Sleet Jr.,andy,male,1969,Feature-Photography,Ebony Magazine,,no,Moneta,,
Ovie Carter,andy,male,1975,International-Reporting,Chicago Tribune,,no,Ovie,,
Ozier Muhammad,andy,male,1985,International-Reporting,Newsday,,no,Ozier,,
Pat Stith,andy,male,1996,Public-Service,The News & Observer,,no,Pat,,
R. Bruce Dold,andy,male,1994,Editorial-Writing,Chicago Tribune,,no,R.,,
R. Jeffrey Smith,andy,male,2006,Investigative-Reporting,The Washington Post,,no,R.,,
R. John Hughes,andy,male,1967,International-Reporting,The Christian Science Monitor,,no,R.,,
Sanche De Gramont,andy,male,1961,Local-Reporting;-Edition-Time,New York Herald Tribune,,no,Sanche,,
Sergeant Bill Mauldin,andy,male,1945,Editorial-Cartooning,"United Feature Syndicate, Inc.",,no,Sergeant,,
Sylvan Fox,andy,male,1963,Local-Reporting;-Edition-Time,New York World-Telegram,,no,Sylvan,,
Vermont Connecticut Royster,andy,male,1953,Editorial-Writing,The Wall Street Journal,,no,Vermont,,
Vermont Royster,andy,male,1984,Commentary,The Wall Street Journal,,no,Vermont,,
Virginius Dabney,andy,male,1948,Editorial-Writing,Richmond Times-Dispatch,,no,Virginius,,
