category,publication,publication2,name,year,organizational,first_name,gender,mutiple org,note
Editorial-Cartooning,St. Louis Post-Dispatch,,William H. (Bill) Mauldin,1959,no,William,male,,
Editorial-Writing,St. Louis Post-Dispatch,,Robert Lasch,1966,no,Robert,male,,
Reporting,St. Louis Post-Dispatch,,Paul Y. Anderson,1929,no,Paul,male,,
Commentary,St. Louis Post-Dispatch,,Marquis W. Childs,1970,no,Marquis,male,,
Reporting,St. Louis Post-Dispatch,,John T. Rogers,1927,no,John,male,,
Criticism,St. Louis Post-Dispatch,,Frank Peters Jr.,1972,no,Frank,male,,
Telegraphic-Reporting-(National),St. Louis Post-Dispatch,,Edward A. Harris,1946,no,Edward,male,,
Editorial-Cartooning,St. Louis Post-Dispatch,,Daniel R. Fitzpatrick,1955,no,Daniel,male,,
Editorial-Cartooning,St. Louis Post-Dispatch,,D. R. Fitzpatrick,1926,no,D.,andy,,
Correspondence,St. Louis Post-Dispatch,,Charles G. Ross,1932,no,Charles,male,,
Editorial-Writing,St. Louis Post-Dispatch,,Bart Howard,1940,no,Bart,male,,
Local-Investigative-Specialized-Reporting,St. Louis Globe-Democrat,,Denny Walsh,1969,no,Denny,male,,
Local-Investigative-Specialized-Reporting,St. Louis Globe-Democrat,,Albert L. Delugach,1969,no,Albert,male,,
Editorial-Writing,St. Louis Globe-Democrat,,Louis LaCoss,1952,no,Louis,male,,
Editorial-Cartooning,"self syndicated, appearing on SFGate.com",,Mark Fiore,2010,no,Mark,male,,
International-Reporting,Scripps-Howard Newspaper Alliance,,Jim G. Lucas,1954,no,Jim,male,,
National-Reporting,Scripps-Howard Newspaper Alliance,,Vance Trimble,1960,no,Vance,male,,
Reporting,Scripps-Howard Newspaper Alliance,,Thomas Lunsford Stokes,1939,no,Thomas,male,,
Correspondence,Scripps-Howard Newspaper Alliance,,Ernest Taylor Pyle,1944,no,Ernest,male,,
Local-Reporting;-No-Edition-Time,Scranton (PA) Tribune and Scrantonian,,John Harold Brislin,1959,no,John,male,,
Investigative-Reporting,Sarasota Herald-Tribune,,Paige St. John,2011,no,Paige,andy,,
Editorial-Writing,Santa Barbara (CA) News-Press,,Thomas M. Storke,1962,no,Thomas,male,,
Editorial-Writing,San Juan (Puerto Rico) Star,,William J. Dorvillier,1961,no,William,male,,
International-Reporting,San Jose (CA) Mercury News,,Pete Carey,1986,no,Pete,male,,
International-Reporting,San Jose (CA) Mercury News,,Lewis M. Simons,1986,no,Lewis,male,,
International-Reporting,San Jose (CA) Mercury News,,Katherine Ellison,1986,no,Katherine,female,,
Spot-News-Photography,San Francisco Examiner,,Kim Komenich,1987,no,Kim,mostly_female,,
Local-Reporting,San Francisco Examiner,,Edward S. Montgomery,1951,no,Edward,male,,
Reporting,San Francisco Chronicle,,Stanton Delaplane,1942,no,Stanton,male,,
Reporting,San Francisco Chronicle,,Royce Brier,1934,no,Royce,male,,
Local-Reporting,San Francisco Chronicle,,George De Carvalho,1952,no,George,male,,
Feature-Photography,San Francisco Chronicle,,Deanne Fitzmaurice,2005,no,Deanne,female,,
Criticism,San Francisco Chronicle,,Allan Temko,1990,no,Allan,male,,
Reporting,San Francisco Call-Bulletin,,Jack S. McDowell,1945,no,Jack,male,,
Reporting,San Diego Sun,,Magner White,1924,no,Magner,andy,,
Editorial-Writing,Rutland (VT) Herald,,David Moats,2001,no,David,male,,
Feature-Photography,Rocky Mountain News,,Todd Heisler,2006,no,Todd,male,,
Feature-Writing,Rocky Mountain News,,Jim Sheeler,2006,no,Jim,male,,
Local-General-or-Spot-News-Reporting,Rochester (NY) Times-Union,,Richard Cooper,1972,no,Richard,male,,
Local-General-or-Spot-News-Reporting,Rochester (NY) Times-Union,,John Machacek,1972,no,John,male,,
Editorial-Writing,Richmond Times-Dispatch,,Virginius Dabney,1948,no,Virginius,andy,,
Editorial-Cartooning,Richmond News-Leader,,Jeffrey K. MacNelly,1972,no,Jeffrey,male,,
Editorial-Cartooning,Richmond (VA) News Leader,,Jeffrey K. MacNelly,1978,no,Jeffrey,male,,
International-Reporting,Reuters,,Jason Szep,2014,no,Jason,male,,
International-Reporting,Reuters,,Andrew R.C. Marshall,2014,no,Andrew,male,,
Breaking-News-Photography,Reuters,,Adrees Latif,2008,no,Adrees,andy,,
Editorial-Writing,Reno (Nev.) Evening Gazette and Nevada State Journal,,Warren L. Lerude,1977,no,Warren,male,,
Editorial-Writing,Reno (Nev.) Evening Gazette and Nevada State Journal,,Norman F. Cardoza,1977,no,Norman,male,,
Editorial-Writing,Reno (Nev.) Evening Gazette and Nevada State Journal,,Foster Church,1977,no,Foster,male,,
Editorial-Writing,Register and Tribune,,William Wesley Waymack,1938,no,William,male,,
Editorial-Writing,Register and Tribune,,Lauren K. Soth,1956,no,Lauren,mostly_female,,
Editorial-Writing,Register and Tribune,,Forrest W. Seymour,1943,no,Forrest,male,,
Commentary,Raleigh (NC) News & Observer,,Claude Sitton,1983,no,Claude,mostly_male,,
National-Reporting,Providence Journal and Evening Bulletin,,Jack White,1974,no,Jack,male,,
Investigative-Reporting,"ProPublica, in collaboration with The New York Times Magazine",,Sheri Fink,2010,no,Sheri,female,,
National-Reporting,ProPublica,,Jesse Eisinger,2011,no,Jesse,male,,
National-Reporting,ProPublica,,Jake Bernstein,2011,no,Jake,male,,
Local-Investigative-Specialized-Reporting,Pottsville (PA) Republican,,Gilbert M. Gaul,1979,no,Gilbert,male,,
Local-Investigative-Specialized-Reporting,Pottsville (PA) Republican,,Elliot G. Jaspin,1979,no,Elliot,male,,
Spot-News-Photography,The Pottstown (PA) Mercury,,Thomas J. Kelly III,1979,no,Thomas,male,,
Local-Reporting;-No-Edition-Time,Portland Oregonian,,William Lamber,1957,no,William,male,,
Local-Reporting;-No-Edition-Time,Portland Oregonian,,Wallace Turner,1957,no,Wallace,male,,
Editorial-Cartooning,POLITICO,,Matt Wuerker,2012,no,Matt,male,,
Specialized-Reporting,The Pittsburgh Press,,Mary Pat Flaherty,1986,no,Mary,mostly_female,,
Specialized-Reporting,The Pittsburgh Press,,Andrew Schneider,1986,no,Andrew,male,,
Reporting,Pittsburgh Post-Gazette,,Raymond Sprigle,1938,no,Raymond,male,,
Spot-News-Photography,Pittsburgh Post-Gazette,,Martha Rial,1998,no,Martha,female,,
Editorial-Writing,Pine Bluff (AR) Commercial,,Paul Greenberg,1969,no,Paul,male,,
Correspondence,Philippines Herald,,Carlos P. Romulo,1942,no,Carlos,male,,
Correspondence,Philadelphia Public Ledger and New York Evening Post,,H. R. Knickerbocker,1931,no,H.,andy,,
Investigative-Reporting,The Philadelphia Daily News,,Wendy Ruderman,2010,no,Wendy,female,,
Investigative-Reporting,The Philadelphia Daily News,,Barbara Laker,2010,no,Barbara,female,,
International-Reporting,The Philadelphia Bulletin,,J. A. Livingston,1965,no,J.,andy,,
Local-Reporting;-No-Edition-Time,Pecos (TX) Independent and Enterprise,,"Oscar Griffin, Jr.",1963,no,Oscar,male,,
Local-Reporting;-No-Edition-Time,Pecos (TX) Independent and Enterprise,,Oscar Griffin Jr.,1963,no,Oscar,male,,
Editorial-Writing,Pascagoula (MS) Chronicle,,Ira B. Harkey,1963,no,Ira,female,,
Feature-Photography,Palm Beach Post,,Dallas Kinney,1970,no,Dallas,mostly_male,,
Editorial-Writing,Orlando Sentinel,,Jane Healy,1988,no,Jane,female,,
Investigative-Reporting,Orlando (FL) Sentinel,,Steve Berry,1993,no,Steve,male,,
Investigative-Reporting,Orlando (FL) Sentinel,,Jeff Brazil,1993,no,Jeff,male,,
Specialized-Reporting,The Orange County Register,,Edward Humes,1989,no,Edward,male,,
Spot-News-Photography,Odessa (TX) American,,Scott Shaw,1988,no,Scott,male,,
Photography,Oakland (CA) Tribune,,Bill Crouch,1950,no,Bill,male,,
Telegraphic-Reporting-(International),"North American Newspaper Alliance, Inc.",,Ira Wolfert,1943,no,Ira,female,,
Editorial-Writing,Norfolk Virginian-Pilot,,Louis Isaac Jaffe,1929,no,Louis,male,,
Editorial-Writing,Norfolk Virginian-Pilot,,Lenoir Chambers,1960,no,Lenoir,andy,,
Criticism,Newsday Syndicate,,Emily Genauer,1974,no,Emily,female,,
Editorial-Cartooning,Newsday,,Walt Handelsman,2007,no,Walt,male,,
Editorial-Cartooning,Newsday,,Thomas F. Darcy,1970,no,Thomas,male,,
Investigative-Reporting,Newsday,,Stephanie Saul,1995,no,Stephanie,female,,
International-Reporting,Newsday,,Roy Gutman,1993,no,Roy,male,,
International-Reporting,Newsday,,Patrick J. Sloyan,1992,no,Patrick,male,,
International-Reporting,Newsday,,Ozier Muhammad,1985,no,Ozier,andy,,
Commentary,Newsday,,Murray Kempton,1985,no,Murray,male,,
Explanatory-Journalism,Newsday,,Laurie Garrett,1996,no,Laurie,female,,
Criticism,Newsday,,Justin Davidson,2002,no,Justin,male,,
International-Reporting,Newsday,,Josh Friedman,1985,no,Josh,male,,
Commentary,Newsday,,Jim Dwyer,1995,no,Jim,male,,
International-Reporting,Newsday,,Dennis Bell,1985,no,Dennis,male,,
International-Reporting,Newsday,,Dele Olojede,2005,no,Dele,andy,,
Investigative-Reporting,Newsday,,Brian Donovan,1995,no,Brian,male,,
Beat-Reporting,Newsday,,Bob Keeler,1996,no,Bob,male,,
Criticism,News and Observer,,Michael Skube,1989,no,Michael,male,,
Editorial-Cartooning,Newark Evening News,,Lute Pease,1949,no,Lute,male,,
Local-Reporting;-Edition-Time,New York World-Telegram,,William Longgood,1963,no,William,male,,
Local-Reporting;-Edition-Time,New York World-Telegram,,Sylvan Fox,1963,no,Sylvan,andy,,
Local-Reporting;-Edition-Time,New York World-Telegram,,Anthony Shannon,1963,no,Anthony,male,,
Local-Reporting;-No-Edition-Time,New York World-Telegram,,Edward J. Mowery,1953,no,Edward,male,,
Reporting,New York World-Telegram,,Westbrook Pegler,1941,no,Westbrook,andy,,
Reporting,New York World-Telegram,,S. Burton Heath,1940,no,S.,andy,,
Reporting,New York World-Telegram,,Frederick Woltman,1947,no,Frederick,male,,
Editorial-Writing,New York World,,the late Frank I. Cobb,1924,no,Frank,male,,
Editorial-Cartooning,New York World,,Rollin Kirby,1929,no,Rollin,male,,
Editorial-Cartooning,New York World,,Rollin Kirby,1925,no,Rollin,male,,
Editorial-Cartooning,New York World,,Rollin Kirby,1922,no,Rollin,male,,
Reporting,New York World,,Louis Seibold,1921,no,Louis,male,,
Reporting,New York World,,John J. Leary,1920,no,John,male,,
Reporting,New York World,,Herbert Bayard Swope,1917,no,Herbert,male,,
Correspondence,The New York Times,,Anne O'Hare McCormick,1937,no,Anne,female,,
Editorial-Cartooning,New York Sun,,Reuben L. Goldberg,1948,no,Reuben,male,,
Local-Reporting,New York Sun,,Malcolm Johnson,1949,no,Malcolm,male,,
Editorial-Cartooning,New York Mirror,,Fred L. Packer,1952,no,Fred,male,,
Reporting,New York Journal-American,,Paul Schoenstein and Associates,1944,no,Paul,male,,
Photography,New York Herald Tribune,,Nathaniel Fein,1949,no,Nathaniel,male,,
International-Reporting,New York Herald Tribune,,Walter Lippmann,1962,no,Walter,male,,
Reporting,New York Herald Tribune,,William H. Taylor,1935,no,William,male,,
Local-Reporting;-Edition-Time,New York Herald Tribune,,Sanche De Gramont,1961,no,Sanche,andy,,
Correspondence,New York Herald Tribune,,Leland Stowe,1930,no,Leland,male,,
Telegraphic-Reporting-(International),New York Herald Tribune,,Homer William Bigart,1946,no,Homer,male,,
Editorial-Writing,New York Herald Tribune,,Geoffrey Parsons,1942,no,Geoffrey,male,,
National-Reporting,New York Herald Tribune,,Bert Andrews,1948,no,Bert,male,,
Editorial-Writing,New York Herald,,Frank M. O'Brien,1922,no,Frank,male,,
Reporting,New York Evening Post,,Harold A. Littledale,1918,no,Harold,male,,
Local-Investigative-Specialized-Reporting,New York Daily News,,William Sherman,1974,no,William,male,,
Editorial-Writing,New York Daily News,,Reuben Maury,1941,no,Reuben,male,,
International-Reporting,New York Daily News,,Philip Santora,1959,no,Philip,male,,
Commentary,New York Daily News,,Mike McAlary,1998,no,Mike,male,,
International-Reporting,New York Daily News,,Joseph Martin,1959,no,Joseph,male,,
Commentary,New York Daily News,,Jimmy Breslin,1986,no,Jimmy,male,,
Editorial-Writing,New York Daily News,,Heidi Evans,2007,no,Heidi,female,,
Commentary,New York Daily News,,E.R. Shipp,1996,no,E.R.,andy,,
Editorial-Cartooning,New York Daily News,,C.D. Batchelor,1937,no,C.D.,andy,,
Editorial-Writing,New York Daily News,,Beverly Weintraub,2007,no,Beverly,female,,
Editorial-Writing,New York Daily News,,Arthur Browne,2007,no,Arthur,male,,
Editorial-Writing,New Orleans States,,William Harry Fitzpatrick,1951,no,William,male,,
Editorial-Cartooning,NEA service,,Herbert Lawrence Block,1942,no,Herbert,male,,
Commentary,National Observer,,Edwin A. Roberts Jr.,1974,no,Edwin,male,,
National-Reporting,Nashville Tennessean,,Nathan G. Caldwell,1962,no,Nathan,male,,
National-Reporting,Nashville Tennessean,,Gene S. Graham,1962,no,Gene,mostly_male,,
Local-Investigative-Specialized-Reporting,Montgomery Advertiser and Alabama Journal,,Harold Eugene Martin,1970,no,Harold,male,,
Editorial-Writing,Montgomery (AL) Advertiser,,Grover Cleveland Hall,1928,no,Grover,male,,
National-Reporting,Minneapolis Tribune,,Nat S. Finney,1948,no,Nat,mostly_male,,
Photography,Minneapolis Star,,William Seaman,1959,no,William,male,,
Local-Reporting,Milwaukee Journal Sentinel,,Raquel Rutledge,2010,no,Raquel,female,,
Explanatory-Reporting,Milwaukee Journal Sentinel,,Mark Johnson,2011,no,Mark,male,,
Explanatory-Reporting,Milwaukee Journal Sentinel,,Lou Saldivar,2011,no,Lou,mostly_male,,
Explanatory-Reporting,Milwaukee Journal Sentinel,,Kathleen Gallagher,2011,no,Kathleen,female,,
Explanatory-Reporting,Milwaukee Journal Sentinel,,Gary Porter,2011,no,Gary,male,,
Local-Reporting,Milwaukee Journal Sentinel,,David Umhoefer,2008,no,David,male,,
Explanatory-Reporting,Milwaukee Journal Sentinel,,Alison Sherwood,2011,no,Alison,female,,
Local-General-or-Spot-News-Reporting,The Miami Herald,,Gene Miller,1976,no,Gene,mostly_male,,
Local-Investigative-Specialized-Reporting,The Miami Herald,,Gene Miller,1967,no,Gene,mostly_male,,
Photography,Mainichi,,Yasushi Nagao,1961,no,Yasushi,male,,
Specialized-Reporting,Macon (GA) Telegraph and News,,Randall Savage,1985,no,Randall,male,,
Specialized-Reporting,Macon (GA) Telegraph and News,,Jackie Crosby,1985,no,Jackie,andy,,
Local-General-or-Spot-News-Reporting,Louisville Courier-Journal,,John Fetterman,1969,no,John,male,,
Reporting,Louisville Courier-Journal,,William Burke Miller,1926,no,William,male,,
Local-General-or-Spot-News-Reporting,Louisville Courier-Journal,,Richard Whitt,1978,no,Richard,male,,
Editorial-Cartooning,Louisville (KY) Times,,Robert York,1956,no,Robert,male,,
Commentary,Los Angeles Times,,Art Buchwald,1982,no,Art,male,,
International-Reporting,Los Angeles Times,,William Tuohy,1969,no,William,male,,
Editorial-Writing,Los Angeles Times,,William R. Stall,2004,no,William,male,,
Explanatory-Reporting,Los Angeles Times,,Usha Lee McFarling,2007,no,Usha,female,,
Feature-Writing,Los Angeles Times,,Sonia Nazario,2003,no,Sonia,female,,
Explanatory-Reporting,Los Angeles Times,,Rick Loomis,2007,no,Rick,male,,
Criticism,Los Angeles Times,,Richard Eder,1987,no,Richard,male,,
Editorial-Writing,Los Angeles Times,,Philip P. Kerby,1976,no,Philip,male,,
Editorial-Cartooning,Los Angeles Times,,Paul Conrad,1984,no,Paul,male,,
Editorial-Cartooning,Los Angeles Times,,Paul Conrad,1971,no,Paul,male,,
International-Reporting,Los Angeles Times,,Michael Parks,1987,no,Michael,male,,
Beat-Reporting,Los Angeles Times,,Michael A. Hiltzik,1999,no,Michael,male,,
Criticism,Los Angeles Times,,Mary McNamara,2015,no,Mary,mostly_female,,
Criticism,Los Angeles Times,,Martin Bernheimer,1982,no,Martin,male,,
International-Reporting,Los Angeles Times,,Kim Murphy,2005,no,Kim,mostly_female,,
National-Reporting,Los Angeles Times,,Kevin Sack,2003,no,Kevin,male,,
Explanatory-Reporting,Los Angeles Times,,Kenneth R. Weiss,2007,no,Kenneth,male,,
Explanatory-Reporting,Los Angeles Times,,Julie Cart,2009,no,Julie,female,,
Photography,Los Angeles Times,,John L. Gaunt,1955,no,John,male,,
Commentary,Los Angeles Times,,Jim Murray,1990,no,Jim,male,,
Feature-Writing,Los Angeles Times,,J.R. Moehringer,2000,no,J.R.,andy,,
Criticism,Los Angeles Times,,Howard Rosenberg,1985,no,Howard,male,,
National-Reporting,Los Angeles Times,,Gaylord D. Shaw,1978,no,Gaylord,male,,
Feature-Photography,Los Angeles Times,,Don Bartletti,2003,no,Don,male,,
Feature-Writing,Los Angeles Times,,Diana Marcum,2015,no,Diana,female,,
Investigative-Reporting,Los Angeles Times,,David Willman,2001,no,David,male,,
Criticism,Los Angeles Times,,David Shaw,1991,no,David,male,,
Criticism,Los Angeles Times,,Dan Neil,2004,no,Dan,male,,
Feature-Photography,Los Angeles Times,,Clarence Williams,1998,no,Clarence,male,,
Beat-Reporting,Los Angeles Times,,Chuck Philips,1999,no,Chuck,male,,
Feature-Photography,Los Angeles Times,,Carolyn Cole,2004,no,Carolyn,female,,
Editorial-Cartooning,Los Angeles Times,,Bruce Alexander Russell,1946,no,Bruce,male,,
Editorial-Writing,Los Angeles Times,,Bob Sipchen,2002,no,Bob,male,,
Explanatory-Reporting,Los Angeles Times,,Bettina Boxall,2009,no,Bettina,female,,
Feature-Writing,Los Angeles Times,,Barry Siegel,2002,no,Barry,male,,
Feature-Photography,Los Angeles Times,,Barbara Davidson,2011,no,Barbara,female,,
Editorial-Writing,Los Angeles Times,,Alex Raksin,2002,no,Alex,male,,
National-Reporting,Los Angeles Times,,Alan Miller,2003,no,Alan,male,,
Editorial-Writing,Lexington (MS) Advertiser,,Hazel Brannon Smith,1964,no,Hazel,female,,
Editorial-Writing,Lexington (KY) Herald-Leader,,Maria Henson,1992,no,Maria,mostly_female,,
Editorial-Cartooning,Lexington (KY) Herald-Leader,,Joel Pett,2000,no,Joel,male,,
Investigative-Reporting,Lexington (KY) Herald-Leader,,Michael M. York,1986,no,Michael,male,,
Investigative-Reporting,Lexington (KY) Herald-Leader,,Jeffrey A. Marx,1986,no,Jeffrey,male,,
Public-Service,Las Vegas Sun,,Alexandra Berzon,2009,no,Alexandra,female,,
Criticism,LA Weekly,,Jonathan Gold,2007,no,Jonathan,male,,
Photography,La Republica,,Hector Rondon,1963,no,Hector,male,,
National-Reporting,Knight Newspapers,,Robert Boyd,1973,no,Robert,male,,
Editorial-Writing,Knight Newspapers,,John S. Knight,1968,no,John,male,,
National-Reporting,Knight Newspapers,,Clark Hoyt,1973,no,Clark,male,,
National-Reporting,The Kansas City Star,,Mike McGraw,1992,no,Mike,male,,
National-Reporting,The Kansas City Star,,Jeff Taylor,1992,no,Jeff,male,,
Editorial-Writing,Kansas City (MO) Star,,Henry J. Haskell,1944,no,Henry,male,,
Local-Reporting;-No-Edition-Time,Kansas City (MO) Star,,Alvin Scott McCoy,1954,no,Alvin,male,,
Reporting,Kansas City (MO) Star,,A. B. MacDonald,1931,no,A.,andy,,
Spot-News-Photography,Jacksonville Journal,,Rocco Morabito,1968,no,Rocco,male,,
Editorial-Writing,Jackson (MI) Citizen Patriot,,Carl M. Saunders,1950,no,Carl,male,,
Editorial-Cartooning,Investor's Business Daily,,Michael Ramirez,2008,no,Michael,male,,
International-Reporting,International News Service,,William Randolph Hearst Jr.,1956,no,William,male,,
International-Reporting,International News Service,,J. Kingsbury-Smith,1956,no,J.,andy,,
International-Reporting,International News Service,,Frank Conniff,1956,no,Frank,male,,
National-Reporting,InsideClimate News,,Lisa Song,2013,no,Lisa,female,,
National-Reporting,InsideClimate News,,Elizabeth McGowan,2013,no,Elizabeth,female,,
National-Reporting,InsideClimate News,,David Hasemyer,2013,no,David,male,,
Local-General-or-Spot-News-Reporting,Hungry Horse News,,Melvin H. Ruder,1965,no,Melvin,male,,
Local-Investigative-Specialized-Reporting,Houston Post,,Gene Goltz,1965,no,Gene,mostly_male,,
Commentary,Houston Chronicle,,Lisa Falkenberg,2015,no,Lisa,female,,
Explanatory-Journalism,Hartford (CT) Courant,,Robert S. Capers,1992,no,Robert,male,,
Explanatory-Journalism,Hartford (CT) Courant,,Eric Lipton,1992,no,Eric,male,,
Explanatory-Reporting,Great Falls (Mont.) Tribune,,Eric Newhouse,2000,no,Eric,male,,
Editorial-Writing,Georgia Gazette,,Albert Scardino,1984,no,Albert,male,,
National-Reporting,Gannett News Service,,Rochelle Sharpe,1991,no,Rochelle,female,,
National-Reporting,Gannett News Service,,Marjie Lundstrom,1991,no,Marjie,andy,,
Editorial-Writing,The Gainesville (FL) Sun,,John R. Harrison,1965,no,John,male,,
Editorial-Writing,Fremont (NE) Tribune,,Charles S. Ryckman,1931,no,Charles,male,,
Feature-Photography,freelance photographer,The New York Times,Daniel Berehulak,2015,no,Daniel,male,,
Spot-News-Photography,freelance photographer,,Ron Olshwanger,1989,no,Ron,male,,
Feature-Photography,freelance photographer,,Javier Manzano,2013,no,Javier,mostly_male,,
Spot-News-Photography,freelance photographer,,Charles Porter IV,1996,no,Charles,male,,
Spot-News-Photography,freelance photographer,,Anthony K. Roberts,1974,no,Anthony,male,,
Spot-News-Photography,Fort Worth (TX) Star-Telegram,,Larry C. Price,1981,no,Larry,male,,
Photography,Flint (MI) Journal,,William M. Gallagher,1953,no,William,male,,
Editorial-Writing,Evening World Herald,,Harvey E. Newbranch,1920,no,Harvey,male,,
Spot-News-Photography,Ettela'at,,Jahangir Razmi,1980,no,Jahangir,male,,
Editorial-Writing,Emporia (KS) Gazette,,William Allen White,1923,no,William,male,,
Feature-Photography,Ebony Magazine,,Moneta Sleet Jr.,1969,no,Moneta,andy,,
Local-Reporting,East Valley Tribune,,Ryan Gabrielson,2009,no,Ryan,mostly_male,,
Local-Reporting,East Valley Tribune,,Paul Giblin,2009,no,Paul,male,,
International-Reporting,Dispatch News Service,,Seymour M. Hersh,1970,no,Seymour,male,,
Reporting,Detroit Free Press,,W.C. Richards,1932,no,W.C.,andy,,
Feature-Photography,Detroit Free Press,,Taro M. Yamasaki,1981,no,Taro,male,,
Commentary,Detroit Free Press,,Stephen Henderson,2014,no,Stephen,male,,
Editorial-Writing,Detroit Free Press,,Royce Howes,1955,no,Royce,male,,
Feature-Photography,Detroit Free Press,,Manny Crisostomo,1989,no,Manny,mostly_male,,
Local-Reporting,Detroit Free Press,,M.L. Elrick,2009,no,M.L.,andy,,
Local-Reporting;-Edition-Time,Detroit Free Press,,Lee Hills,1956,no,Lee,mostly_male,,
Local-Reporting,Detroit Free Press,,Jim Schaefer,2009,no,Jim,male,,
Reporting,Detroit Free Press,,J.S. Pooler,1932,no,J.S.,andy,,
Reporting,Detroit Free Press,,J.N.W. Sloan,1932,no,J.N.W.,andy,,
Reporting,Detroit Free Press,,F.D. Webb,1932,no,F.D.,andy,,
Feature-Photography,Detroit Free Press,,David C. Turnley,1990,no,David,male,,
Reporting,Detroit Free Press,,D.D. Martin,1932,no,D.D.,andy,,
Local-Reporting;-Edition-Time,Deseret News,,Robert D. Mulllins,1962,no,Robert,male,,
Photography,Des Moines Register,,John Robinson,1952,no,John,male,,
Photography,Des Moines Register,,Don Ultang,1952,no,Don,male,,
National-Reporting,Des Moines Register,,Clark Mollenhoff,1958,no,Clark,male,,
National-Reporting,Des Moines Register,,Richard Wilson,1954,no,Richard,male,,
Editorial-Cartooning,Des Moines Register,,Jay Norwood Darling,1943,no,Jay,male,,
Editorial-Cartooning,Des Moines Register,,Jay Norwood Darling,1924,no,Jay,male,,
National-Reporting,Des Moines Register,,Thomas J. Knudson,1985,no,Thomas,male,,
National-Reporting,Des Moines Register,,James Risser,1979,no,James,male,,
National-Reporting,Des Moines Register,,James Risser,1976,no,James,male,,
Editorial-Cartooning,Des Moines Register,,Frank Miller,1963,no,Frank,male,,
Feature-Photography,Des Moines Register,,David Peterson,1987,no,David,male,,
National-Reporting,Dayton Daily News,,Russell Carollo,1998,no,Russell,male,,
National-Reporting,Dayton Daily News,,Jeff Nesmith,1998,no,Jeff,male,,
Editorial-Cartooning,Dayton Daily News,,Mike Peters,1981,no,Mike,male,,
Photography,Dallas Times Herald,,Robert H. Jackson,1964,no,Robert,male,,
Feature-Photography,Dallas Times Herald,,James B. Dickman,1983,no,James,male,,
Feature-Photography,Dallas Times Herald,,Erwin H. Hagler,1980,no,Erwin,male,,
Investigative-Reporting,The Dallas Morning News,,Lorraine Adams,1992,no,Lorraine,female,,
Investigative-Reporting,The Dallas Morning News,,Dan Malone,1992,no,Dan,male,,
Editorial-Cartooning,Daily Oklahoman,,Charles G. Werner,1939,no,Charles,male,,
Local-Reporting,Daily Breeze,,Rob Kuznia,2015,no,Rob,male,,
Local-Reporting,Daily Breeze,,Rebecca Kimitch,2015,no,Rebecca,female,,
Local-Reporting,Daily Breeze,,Frank Suraci,2015,no,Frank,male,,
Local-Reporting;-No-Edition-Time,Cuero (TX) Record,,Roland Kenneth Towery,1955,no,Roland,male,,
Feature-Photography,Concord (NH) Monitor,,Preston Gannaway,2008,no,Preston,male,,
Editorial-Cartooning,Commercial Appeal,,Michael P. Ramirez,1994,no,Michael,male,,
Feature-Writing,Colorado Springs Gazette Telegraph,,Dave Curtin,1990,no,Dave,male,,
Editorial-Cartooning,Cleveland Plain Dealer,,Edward D. Kuekes,1953,no,Edward,male,,
International-Reporting,Chicago Tribune,,William Mullen,1975,no,William,male,,
Local-Investigative-Specialized-Reporting,Chicago Tribune,,William Jones,1971,no,William,male,,
Investigative-Reporting,Chicago Tribune,,William Gaines,1988,no,William,male,,
Correspondence,Chicago Tribune,,Wilfred C. Barber,1936,no,Wilfred,male,,
Explanatory-Journalism,Chicago Tribune,,Ronald Kotulak,1994,no,Ronald,male,,
Editorial-Cartooning,Chicago Tribune,,Richard Locher,1983,no,Richard,male,,
Editorial-Writing,Chicago Tribune,,R. Bruce Dold,1994,no,R.,andy,,
Explanatory-Journalism,Chicago Tribune,,Peter Gorner,1987,no,Peter,male,,
International-Reporting,Chicago Tribune,,Paul Salopek,2001,no,Paul,male,,
Criticism,Chicago Tribune,,Paul Gapp,1979,no,Paul,male,,
Explanatory-Reporting,Chicago Tribune,,Paul F. Salopek,1998,no,Paul,male,,
International-Reporting,Chicago Tribune,,Ovie Carter,1975,no,Ovie,andy,,
Editorial-Writing,Chicago Tribune,,Lois Wille,1989,no,Lois,female,,
Feature-Writing,Chicago Tribune,,Julia Keller,2005,no,Julia,female,,
Editorial-Cartooning,Chicago Tribune,,John T. McCutcheon,1932,no,John,male,,
Editorial-Cartooning,Chicago Tribune,,Jeff MacNelly,1985,no,Jeff,male,,
Explanatory-Journalism,Chicago Tribune,,Jeff Lyon,1987,no,Jeff,male,,
Editorial-Writing,Chicago Tribune,,Jack Fuller,1986,no,Jack,male,,
Local-Reporting;-No-Edition-Time,Chicago Tribune,,George Bliss,1962,no,George,male,,
Investigative-Reporting,Chicago Tribune,,Dean Baquet,1988,no,Dean,male,,
Editorial-Writing,Chicago Tribune,,Cornelia Grumman,2003,no,Cornelia,female,,
Commentary,Chicago Tribune,,Clarence Page,1989,no,Clarence,male,,
Editorial-Cartooning,Chicago Tribune,,Carey Orr,1961,no,Carey,andy,,
Criticism,Chicago Tribune,,Blair Kamin,1999,no,Blair,andy,,
Investigative-Reporting,Chicago Tribune,,Ann Marie Lipinski,1988,no,Ann,female,,
Editorial-Cartooning,Chicago Times,,Jacob Burck,1941,no,Jacob,male,,
Local-General-or-Spot-News-Reporting,Chicago Sun-Times,,Thomas Fitzpatrick,1970,no,Thomas,male,,
