category,publication,publication2,name,year,organizational,first_name,gender,mutiple org,note
Public-Service,Fort Worth (TX) Star-Telegram,,Fort Worth (TX) Star-Telegram,1985,yes,,,,
Local-General-or-Spot-News-Reporting,Fort Wayne (IN) News-Sentinel,,Editorial Staff,1983,yes,,,,
Local-Reporting;-Edition-Time,Fargo (ND) Forum,,Staff,1958,yes,,,,
Local-General-or-Spot-News-Reporting,Detroit Free Press,,Staff,1968,yes,,,,
Local-Reporting,Detroit Free Press,,Staff,2009,yes,,,,
Public-Service,Detroit Free Press,,Detroit Free Press,1945,yes,,,,
Public-Service,Des Moines Register,,Des Moines Register,1991,yes,,,,
Editorial-Writing,Daily News,,Editorial Board,1999,yes,,,,
Public-Service,Columbus (GA) Ledger and Sunday Ledger-Enquirer,,Columbus (GA) Ledger and Sunday Ledger-Enquirer,1955,yes,,,,
Public-Service,Columbus (GA) Enquirer Sun,,Columbus (GA) Enquirer Sun,1926,yes,,,,
Explanatory-Reporting,Chicago Tribune,,Staff,2001,yes,,,,
Investigative-Reporting,Chicago Tribune,,Staff,2008,yes,,,,
Local-General-or-Spot-News-Reporting,Chicago Tribune,,Staff,1973,yes,,,,
Local-Investigative-Specialized-Reporting,Chicago Tribune,,Staff,1976,yes,,,,
Public-Service,Chicago Daily News and St. Louis Post-Dispatch,,Chicago Daily News and St. Louis Post-Dispatch,1950,yes,,,,
Public-Service,Chicago Daily News,,Chicago Daily News,1963,yes,,,,
Public-Service,Chicago Daily News,,Chicago Daily News,1957,yes,,,,
Public-Service,Charlotte (NC) Observer,,Charlotte (NC) Observer,1981,yes,,,,
Editorial-Writing,Charleston (SC) News and Courier,,Charleston (SC) News and Courier,1925,yes,,,,
Public-Service,Cedar Rapids Gazette,,Cedar Rapids Gazette,1936,yes,,,,
Public-Service,Canton (Ohio) Daily News,,Canton (Ohio) Daily News,1927,yes,,,,
Public-Service,Bristol (VA) Herald Courier,,Bristol (VA) Herald Courier,2010,yes,,,,
Feature-Photography,Boston Herald American,,Staff Photographers,1979,yes,,,,
Public-Service,Bismarck (ND) Tribune,,Bismarck (ND) Tribune,1938,yes,,,,
Public-Service,The Baltimore Sun,,Baltimore Sun,1947,yes,,,,
Breaking-News-Photography,Associated Press,,Staff,2005,yes,,,,
Feature-Photography,Associated Press,,Staff,1995,yes,,,,
Feature-Photography,Associated Press,,Staff,1993,yes,,,,
Spot-News-Photography,Associated Press,,Staff,1992,yes,,,,
Feature-Photography,Associated Press,,Photo Staff,1999,yes,,,,
Spot-News-Photography,Associated Press,,Photo Staff,1999,yes,,,,
Public-Service,Arkansas Gazette,,Arkansas Gazette,1958,yes,,,,
Public-Service,Anchorage Daily News,,Anchorage Daily News,1989,yes,,,,
Public-Service,Anchorage Daily News,,Anchorage Daily News,1976,yes,,,,
Public-Service,Amarillo (TX) Globe-Times,,Amarillo (TX) Globe-Times,1961,yes,,,,
General-News-Reporting,Akron Beacon Journal,,Staff,1987,yes,,,,
Public-Service,Akron Beacon Journal,,Akron Beacon Journal,1994,yes,,,,
Local-General-or-Spot-News-Reporting,Akron Beacon Journal,,Staff,1971,yes,,,,
Editorial-Writing,No Award,,No award,2012,none,,,,
Editorial-Writing,No Award,,No award,2008,none,,,,
Feature-Writing,No Award,,No award,2014,none,,,,
Feature-Writing,No Award,,No award,2004,none,,,,
Breaking-News-Reporting,No Award,,No Award,2011,none,,,,
Criticism,No Award,,No Award,1992,none,,,,
Editorial-Cartooning,No Award,,No Award,1973,none,,,,
Editorial-Cartooning,No Award,,No Award,1965,none,,,,
Editorial-Cartooning,No Award,,No Award,1960,none,,,,
Editorial-Cartooning,No Award,,No Award,1936,none,,,,
Editorial-Cartooning,No Award,,No Award,1923,none,,,,
Editorial-Writing,No Award,,No Award,1993,none,,,,
Editorial-Writing,No Award,,No Award,1981,none,,,,
Editorial-Writing,No Award,,No Award,1935,none,,,,
Editorial-Writing,No Award,,No Award,1932,none,,,,
Editorial-Writing,No Award,,No Award,1930,none,,,,
Editorial-Writing,No Award,,No Award,1921,none,,,,
Editorial-Writing,No Award,,No Award,1919,none,,,,
International-Reporting,No Award,,No Award,1977,none,,,,
National-Reporting,No Award,,No Award,1951,none,,,,
Photography,No Award,,No Award,1946,none,,,,
Public-Service,No Award,,No Award,1930,none,,,,
Public-Service,No Award,,No Award,1925,none,,,,
Public-Service,No Award,,No Award,1920,none,,,,
Public-Service,No Award,,No Award,1917,none,,,,
Reporting,No Award,,No Award,1928,none,,,,
Reporting,No Award,,No Award,1919,none,,,,
