category,publication,name,year
Editorial-Cartooning,The Cincinnati Enquirer,Jim Borgman,1991
Editorial-Cartooning,The Buffalo News,Tom Toles,1990
Editorial-Cartooning,Chicago Sun-Times,Jack Higgins,1989
Editorial-Cartooning,The Atlanta Constitution and Charlotte Observer,Doug Marlette,1988
Editorial-Cartooning,The Washington Post Writers Group,Berke Breathed,1987
Editorial-Cartooning,The Village Voice,Jules Feiffer,1986
Editorial-Cartooning,Chicago Tribune,Jeff MacNelly,1985
Editorial-Cartooning,Los Angeles Times,Paul Conrad,1984
Editorial-Cartooning,Chicago Tribune,Richard Locher,1983
Editorial-Cartooning,Austin (TX) American-Statesman,Ben Sargent,1982
Editorial-Cartooning,Dayton (OH) Daily News,Mike Peters,1981
Editorial-Cartooning,The Miami News,Don Wright,1980
Editorial-Cartooning,The Washington Post,Herbert L. Block,1979
Editorial-Cartooning,Richmond (VA) News Leader,Jeffrey K. MacNelly,1978
Editorial-Cartooning,The Boston Globe,Paul Szep,1977
Editorial-Cartooning,The Philadelphia Inquirer,Tony Auth,1976
Editorial-Cartooning,Universal Press Syndicate,Garry Trudeau,1975
Editorial-Cartooning,The Boston Globe,Paul Szep,1974
Editorial-Cartooning,No Award,No Award,1973
Editorial-Cartooning,Richmond News-Leader,Jeffrey K. MacNelly,1972
Editorial-Cartooning,Los Angeles Times,Paul Conrad,1971
Editorial-Cartooning,Newsday,Thomas F. Darcy,1970
Editorial-Cartooning,Chicago Daily News,John Fischetti,1969
Editorial-Cartooning,The Charlotte Observer,Eugene Gray Payne,1968
Editorial-Cartooning,The Denver Post,Patrick B. Oliphant,1967
Editorial-Cartooning,The Miami News,Don Wright,1966
Editorial-Cartooning,No Award,No Award,1965
Editorial-Cartooning,The Denver Post,Paul Conrad,1964
Editorial-Cartooning,Des Moines Register,Frank Miller,1963
Editorial-Cartooning,The Hartford Times,Edmund S. Valtman,1962
Editorial-Cartooning,Chicago Tribune,Carey Orr,1961
Editorial-Cartooning,No Award,No Award,1960
Editorial-Cartooning,St. Louis Post-Dispatch,William H. (Bill) Mauldin,1959
Editorial-Cartooning,Buffalo (NY) Evening News,Bruce M. Shanks,1958
Editorial-Cartooning,The Nashville Tennessean,Tom Little,1957
Editorial-Cartooning,Louisville (KY) Times,Robert York,1956
