category,publication,name,year
Public-Service,The New York Times,The New York Times,2002
Public-Service,The Oregonian,The Oregonian,2001
Public-Service, The Washington Post,Katherine Boo,2000
Public-Service,The Washington Post,The Washington Post,1999
Public-Service,Grand Forks (ND) Herald,Grand Forks (ND) Herald,1998
Public-Service,The Times-Picayune,The Times-Picayune,1997
Public-Service,The News & Observer,Joby Warrick,1996
Public-Service,The News & Observer,Pat Stith,1996
Public-Service,The News & Observer,Melanie Sill,1996
Public-Service,The Virgin Islands Daily News,The Virgin Islands Daily News,1995
Public-Service,Akron Beacon Journal,Akron Beacon Journal,1994
Public-Service,The Miami Herald,The Miami Herald,1993
Public-Service,The Sacramento (CA) Bee,The Sacramento (CA) Bee,1992
Public-Service,Des Moines Register,Des Moines Register,1991
Public-Service,Washington (NC) Daily News,Washington (NC) Daily News,1990
Public-Service,The Philadelphia Inquirer,Staff,1990
Public-Service,Anchorage Daily News,Anchorage Daily News,1989
Public-Service,The Charlotte Observer,The Charlotte Observer,1988
Public-Service,The Pittsburgh Press,The Pittsburgh Press,1987
Public-Service,The Denver Post,The Denver Post,1986
Public-Service,Fort Worth (TX) Star-Telegram,Fort Worth (TX) Star-Telegram,1985
Public-Service,Los Angeles Times,Los Angeles Times,1984
Public-Service,Jackson (MS) Clarion-Ledger,Jackson (MS) Clarion-Ledger,1983
Public-Service,The Detroit News,The Detroit News,1982
Public-Service,Charlotte (NC) Observer,Charlotte (NC) Observer,1981
Public-Service,Gannett News Service,Gannett News Service,1980
Public-Service,Point Reyes Light,Point Reyes Light,1979
Public-Service,The Philadelphia Inquirer,The Philadelphia Inquirer,1978
Public-Service,Lufkin (TX) News,Lufkin (TX) News,1977
Public-Service,Anchorage Daily News,Anchorage Daily News,1976
Public-Service,The Boston Globe,The Boston Globe,1975
Public-Service,Newsday,Newsday,1974
Public-Service,The Washington Post,The Washington Post,1973
Public-Service,The New York Times,The New York Times,1972
Public-Service,Winston-Salem (NC) Journal and Sentinel,Winston-Salem (NC) Journal and Sentinel,1971
Public-Service,Newsday,Newsday,1970
Public-Service,Los Angeles Times,Los Angeles Times,1969
Public-Service,Riverside (CA) Press-Enterprise,Riverside (CA) Press-Enterprise,1968
Public-Service,Milwaukee Journal,Milwaukee Journal,1967
Public-Service,Louisville Courier-Journal,Staff,1967
Public-Service,The Boston Globe,The Boston Globe,1966
Public-Service,Hutchinson (KS) News,Hutchinson (KS) News,1965
Public-Service,St. Petersburg (FL) Times,St. Petersburg (FL) Times,1964
Public-Service,Chicago Daily News,Chicago Daily News,1963
Public-Service,Panama City (FL) News-Herald,Panama City (FL) News-Herald,1962
Public-Service,Amarillo (TX) Globe-Times,Amarillo (TX) Globe-Times,1961
Public-Service,Los Angeles Times,Los Angeles Times,1960
Public-Service,Utica (NY) Observer-Dispatch and Utica Daily Press,Utica (NY) Observer-Dispatch and Utica Daily Press,1959
Public-Service,Arkansas Gazette,Arkansas Gazette,1958
Public-Service,Chicago Daily News,Chicago Daily News,1957
Public-Service,Watsonville (CA) Register-Pajaronian,Watsonville (CA) Register-Pajaronian,1956
Public-Service,Columbus (GA) Ledger and Sunday Ledger-Enquirer,Columbus (GA) Ledger and Sunday Ledger-Enquirer,1955
Public-Service,Newsday,Newsday,1954
Public-Service,"Whiteville News Reporter, Tabor City Tribune",None,1953
Public-Service,St. Louis Post-Dispatch,St. Louis Post-Dispatch,1952
Public-Service,Miami Herald and Brooklyn Eagle,Miami Herald and Brooklyn Eagle,1951
Public-Service,Chicago Daily News and St. Louis Post-Dispatch,Chicago Daily News and St. Louis Post-Dispatch,1950
Public-Service,Nebraska State Journal,Nebraska State Journa,1949
Public-Service,St. Louis Post-Dispatch,St. Louis Post-Dispatch,1948
Public-Service,Baltimore Sun,Baltimore Sun,1947
Public-Service,The Scranton Times,The Scranton Times,1946
Public-Service,Detroit Free Press,Detroit Free Press,1945
Public-Service,The New York Times,The New York Times,1944
Public-Service,Omaha (NE) World-Herald,Omaha (NE) World-Herald,1943
Public-Service,Los Angeles Times,Los Angeles Times,1942
Public-Service,St. Louis Post-Dispatch,St. Louis Post-Dispatch,1941
Public-Service,Waterbury (CT) Republican & American,Waterbury (CT) Republican & American,1940
Public-Service,Miami Daily News,Miami Daily News,1939
Public-Service,Bismarck (ND) Tribune,Bismarck (ND) Tribune,1938
Public-Service,St. Louis Post-Dispatch,St. Louis Post-Dispatch,1937
Public-Service,Cedar Rapids Gazette,Cedar Rapids Gazette,1936
Public-Service,The Sacramento (CA) Bee,The Sacramento (CA) Bee,1935
Public-Service,Medford (OR) Mail Tribune,Medford (OR) Mail Tribune,1934
Public-Service,New York World-Telegram,New York World-Telegram,1933
Public-Service,Indianapolis News,Indianapolis News,1932
Public-Service,The Atlanta Constitution,The Atlanta Constitution,1931
Public-Service,No Award,No Award,1930
Public-Service,New York Evening World,New York Evening World,1929
Public-Service,The Indianapolis Times,The Indianapolis Times,1928
Public-Service,Canton (Ohio) Daily News,Canton (Ohio) Daily News,1927
Public-Service,Columbus (GA) Enquirer Sun,Columbus (GA) Enquirer Sun,1926
Public-Service,No Award,No Award,1925
Public-Service,New York World,New York World,1924
Public-Service,Memphis Commercial Appeal,Memphis Commercial Appeal,1923
Public-Service,New York World,New York World,1922
Public-Service,The Boston Post,The Boston Post,1921
Public-Service,No Award,No Award,1920
Public-Service,The Milwaukee Journal,The Milwaukee Journal,1919
Public-Service,The New York Times,The New York Times,1918
Public-Service,No Award,No Award,1917
Reporting,New York World-Telegram,Frederick Woltman,1947
Reporting,The New York Times,William Leonard Laurence,1946
Reporting,San Francisco Call-Bulletin,Jack S. McDowell,1945
Reporting,New York Journal-American,Paul Schoenstein and Associates,1944
Reporting,Chicago Daily News,George Weller,1943
Reporting,San Francisco Chronicle,Stanton Delaplane,1942
Reporting,New York World-Telegram,Westbrook Pegler,1941
Reporting,New York World-Telegram,S. Burton Heath,1940
Reporting,Scripps-Howard Newspaper Alliance,Thomas Lunsford Stokes,1939
Reporting,Pittsburgh Post-Gazette,Raymond Sprigle,1938
Reporting,"New York Herald Tribune, The New York Times, AP, Universal Service, Scripps-Howard",David Dietz,1937
Reporting,"New York Herald Tribune, The New York Times, AP, Universal Service, Scripps-Howard",Gobind Behari Lal,1937
Reporting,"New York Herald Tribune, The New York Times, AP, Universal Service, Scripps-Howard",Howard W. Blakeslee,1937
Reporting,"New York Herald Tribune, The New York Times, AP, Universal Service, Scripps-Howard",William L. Laurence,1937
Reporting,"New York Herald Tribune, The New York Times, AP, Universal Service, Scripps-Howard",John J. O'Neill,1937
Reporting,The New York Times,Lauren D. Lyman,1936
Reporting,New York Herald Tribune,William H. Taylor,1935
Reporting,San Francisco Chronicle,Royce Brier,1934
Reporting,Associated Press,Francis A. Jamieson,1933
Reporting,Detroit Free Press,J.N.W. Sloan,1932
Reporting,Detroit Free Press,F.D. Webb,1932
Reporting,Detroit Free Press,J.S. Pooler,1932
Reporting,Detroit Free Press,D.D. Martin,1932
Reporting,Detroit Free Press,W.C. Richards,1932
Reporting,Kansas City (MO) Star,A. B. MacDonald,1931
Reporting,The New York Times,Russell D. Owen,1930
Reporting,St. Louis Post-Dispatch,Paul Y. Anderson,1929
Reporting,No Award,No Award,1928
Reporting,St. Louis Post-Dispatch,John T. Rogers,1927
Reporting,Louisville Courier-Journal,William Burke Miller,1926
Reporting,Chicago Daily News,Alvin H. Goldstein,1925
Reporting,Chicago Daily News,James W. Mulroy,1925
Reporting,San Diego Sun,Magner White,1924
Reporting,The New York Times,Alva Johnston,1923
Reporting,Associated Press,Kirke L. Simpson,1922
Reporting,New York World,Louis Seibold,1921
Reporting,New York World,John J. Leary,1920
Reporting,No Award,No Award,1919
Reporting,New York Evening Post,Harold A. Littledale,1918
Reporting,New York World,Herbert Bayard Swope,1917
Specialized-Reporting,Albuquerque Journal,Tamar Stieber,1990
Specialized-Reporting,Orange County Register,Edward Humes,1989
Specialized-Reporting,The Wall Street Journal,Walt Bogdanich,1988
Specialized-Reporting,The New York Times,Alex S. Jones,1987
Specialized-Reporting,Pittsburgh Press,Mary Pat Flaherty,1986
Specialized-Reporting,Pittsburgh Press,Andrew Schneider,1986
Specialized-Reporting,Macon (GA) Telegraph and News,Jackie Crosby,1985
Specialized-Reporting,Macon (GA) Telegraph and News,Randall Savage,1985
Spot-News-Photography,Associated Press,Photo Staff,1999
Spot-News-Photography,Pittsburgh Post-Gazette,Martha Rial,1998
Spot-News-Photography,The Press Democrat,Annie Wells,1997
Spot-News-Photography,free-lance photographer,Charles Porter IV,1996
Spot-News-Photography,The Washington Post,Carol Guzy,1995
Spot-News-Photography,The Toronto Star,Paul Watson,1994
Spot-News-Photography,The Dallas Morning News,William Snyder,1993
Spot-News-Photography,The Dallas Morning News,Ken Geiger,1993
Spot-News-Photography,Associated Press,Staff,1992
Spot-News-Photography,Associated Press,Greg Marinovich,1991
Spot-News-Photography,The Tribune,Photo Staff,1990
Spot-News-Photography,free-lance photographer,Ron Olshwanger,1989
Spot-News-Photography,Odessa (TX) American,Scott Shaw,1988
Spot-News-Photography,San Francisco Examiner,Kim Komenich,1987
Spot-News-Photography,The Miami Herald,Michel du Cille,1986
Spot-News-Photography,The Miami Herald,Carol Guzy,1986
Spot-News-Photography,The Register,Photography Staff,1985
Spot-News-Photography,The Boston Globe,Stan Grossfeld,1984
Spot-News-Photography,Associated Press,Bill Foley,1983
Spot-News-Photography,Associated Press,Ron Edmonds,1982
Spot-News-Photography,Fort Worth (TX) Star-Telegram,Larry C. Price,1981
Spot-News-Photography,Ettela'at,Jahangir Razmi,1980
Spot-News-Photography,Pottstown (PA) Mercury,Thomas J. Kelly III,1979
Spot-News-Photography,United Press International,John H. Blair,1978
Spot-News-Photography,Boston Herald American,Stanley Forman,1977
Spot-News-Photography,Associated Press,Neal Ulevich,1977
Spot-News-Photography,Boston Herald American,Stanley Forman,1976
Spot-News-Photography,The Seattle Times,Gerald H. Gay,1975
Spot-News-Photography,free-lance photographer,Anthony K. Roberts,1974
Spot-News-Photography,Associated Press,Huynh Cong Ut,1973
Spot-News-Photography,Associated Press,Michel Laurent,1972
Spot-News-Photography,Associated Press,Horst Faas,1972
Spot-News-Photography,Valley Daily News and Daily Dispatch,John Paul Filo,1971
Spot-News-Photography,Associated Press,Steve Starr,1970
Spot-News-Photography,Associated Press,Edward T. Adams,1969
Spot-News-Photography,Jacksonville Journal,Rocco Morabito,1968
Spot-News-Reporting,Newsday,Staff,1997
Spot-News-Reporting,The New York Times,Robert D. McFadden,1996
Spot-News-Reporting,Los Angeles Times,Staff,1995
Spot-News-Reporting,The New York Times,Staff,1994
Spot-News-Reporting,Los Angeles Times,Staff,1993
Spot-News-Reporting,Newsday,Staff,1992
Spot-News-Reporting,The Miami Herald,Staff,1991
Telegraphic-Reporting-(International),Associated Press,Eddy Gilmore,1947
Telegraphic-Reporting-(International),New York Herald Tribune,Homer William Bigart,1946
Telegraphic-Reporting-(International),The Baltimore Sun,Mark S. Watson,1945
Telegraphic-Reporting-(International),Associated Press,Daniel De Luce,1944
Telegraphic-Reporting-(International),"North American Newspaper Alliance, Inc.",Ira Wolfert,1943
Telegraphic-Reporting-(International),Associated Press,Laurence Edmund Allen,1942
Telegraphic-Reporting-(National),The Washington Post,Edward T. Folliard,1947
Telegraphic-Reporting-(National),St. Louis Post-Dispatch,Edward A. Harris,1946
Telegraphic-Reporting-(National),The New York Times,James B. Reston,1945
Telegraphic-Reporting-(National),The Baltimore Sun,Dewey L. Fleming,1944
Telegraphic-Reporting-(National),No Award,No Award,1943
Telegraphic-Reporting-(National),The New York Times,Louis Stark,1942
